SEQ1,SEQ2,euclidean,harmonicmean,chisquare,hellinger
F5b8401,IAI39,148603.6324320506,2.425326337305521E7,195529.25388958454,0.012740887473011754
APEC01,E24377A,50046.972765592924,2.539199656918184E7,27019.861636321053,0.013249166146697806
F5b8401,UTI89,133971.02225481448,2.410402585491826E7,160294.29016348702,0.01358790453946261
CB9615,ED1a,57226.9594946298,2.6652724681130845E7,25777.63773831196,0.0101045839540183
BW2952,SE11,76222.40418669565,2.363769293105638E7,52606.13788723501,0.004684366962635367
F2a301,SSSs046,57861.26840123711,2.3642198894442834E7,29757.211114338814,0.010871138562756042
D1Sd197,EDL933,283708.8850053872,2.43199231535449E7,703402.6929101927,0.024195858889347287
CFT073,W3110,155663.7554281664,2.471742478196844E7,252234.4360631075,0.021031470685765656
B4Sb227,W3110,55646.08205435491,2.289959788349652E7,31046.233006967956,0.015612252313287465
D1Sd197,Sakai,310772.63082517416,2.4443944675486777E7,816660.6490264513,0.030481742463794887
MG1655,S88,91876.43010587645,2.422407067119328E7,75569.65761343612,0.009603200114822989
ED1a,F2a301,152039.78681910865,2.4605560004268873E7,196975.9914622615,0.010561750434257824
ED1a,EDL933,66746.56443593182,2.684104377234538E7,35102.45530923064,0.006639333682978948
E234869,Sakai,159647.32205082552,2.6243755422751307E7,198289.15449738532,0.015115141618236513
F2a301,MG1655,48401.56038807014,2.3264028577201694E7,22816.845596605453,0.015444535362188386
SMS35,UMN026,38245.155301031264,2.567002719707463E7,11687.605850741536,0.0053981900013408985
APEC01,ATCC8739,155507.74171403816,2.4944949885227155E7,220945.22954568148,0.0429836342295164
F2a301,UTI89,118893.70467354443,2.4282116919476066E7,121025.16104785429,0.010903345930311519
B4Sb227,F2a2457T,72252.91133234702,2.292291127856337E7,55189.442873250315,0.022022379468984835
F5b8401,SE11,86336.78033144391,2.362264415480509E7,63203.690389821815,0.010974625811211895
Sakai,UMN026,108747.77994055787,2.688841791923724E7,91714.16152552831,0.01622567185589764
E234869,SSSs046,53697.726246089784,2.4462894868905187E7,27452.262189625926,0.013338344757318453
B18BS512,MG1655,55480.84304514487,2.3205148320527833E7,32164.358944336836,0.01810892197323611
DH10B,SMS35,94863.17154723428,2.4346093914842214E7,79548.17031556925,0.006886535168484577
B4Sb227,CFT073,187796.10184452712,2.435261286691109E7,349608.26617782563,0.021979785336471405
D1Sd197,S88,174463.61837357382,2.3364932443573583E7,277127.11285283824,0.021580813428274052
APEC01,IAI1,104286.76949162823,2.46493110465491E7,108090.90690180873,0.014208971022459639
D1Sd197,UTI89,191084.92898708678,2.3502523524684902E7,338048.9506302124,0.024583088176104148
DH10B,F2a2457T,55769.49872466132,2.335047743668447E7,31051.126631054864,0.018130374390869904
EDL933,MG1655,204465.61262960578,2.524966216647536E7,360643.6670492796,0.01563915493489607
IAI1,Sakai,211846.96921126815,2.5575073894259997E7,367836.21148000506,0.015863791452959762
BW2952,F2a301,39409.20518102338,2.302990585452103E7,19093.290957947353,0.013671163469691562
B18BS512,F2a2457T,71007.07735148659,2.3164049124438416E7,53663.751123161506,0.023829935917021754
BW2952,CB9615,203111.2316736817,2.4817400752747927E7,367234.4945041509,0.010566728566469182
E234869,UTI89,37751.430807321725,2.5155420663542226E7,13504.67291553894,0.006753817731306149
IAI39,UMN026,33500.53602556234,2.5916051651709482E7,8702.696581049584,0.008830587968065663
MG1655,SMS35,101397.31476227564,2.4306720940448146E7,91019.11910369513,0.01045254368355408
CFT073,E234869,82204.51998521735,2.5602511516497426E7,78060.967005151,0.016151279787117362
ED1a,UMN026,37219.21268646074,2.610904891755342E7,11835.164893160552,0.010259557702943145
BW2952,CFT073,170740.75099401432,2.4523772834632643E7,299038.3307347025,0.02076568013325928
EDL933,IAI39,85908.8571161321,2.6634453097598154E7,59156.80480367647,0.008158252131505984
HS,MG1655,17674.861527038902,2.328804309853645E7,3619.802927112079,0.005828043895540901
CB9615,F5b8401,208861.9640001501,2.4804977124068074E7,372581.75186385115,0.011442634791163083
S88,SE11,39063.35172511442,2.479186048673218E7,14521.026535625593,0.006319816106246131
IAI1,UMN026,117380.36572612985,2.4776306965655267E7,116812.06868947875,0.007508350055489524
E234869,E24377A,24833.848312333714,2.494236586199795E7,6244.276004082568,0.007166336078940986
E24377A,F2a2457T,99489.60196925103,2.413909486131238E7,87556.27737523995,0.015568323620658199
536,DH10B,64512.730433612865,2.4042102408290725E7,40281.18341855531,0.00856877100655238
EDL933,SMS35,106914.28594439567,2.6370698250693366E7,97602.49861327045,0.009584417103813555
B4Sb227,UTI89,150871.38896424332,2.3943074437061034E7,209947.12587792653,0.019244350577947576
B4Sb227,IAI39,164715.6176444723,2.409134230993878E7,247121.38012243574,0.018115264326653172
E234869,F2a301,87978.46202906709,2.3974278233587295E7,66848.53282541041,0.010667775958644422
ATCC8739,E234869,132352.83983352984,2.45210930880223E7,148621.82395540367,0.03858012484516924
DH10B,ED1a,138534.35264583293,2.4737530072304662E7,174866.85539069917,0.013545726337856412
APEC01,UMN026,50309.98247862943,2.586700116748453E7,23276.665030928405,0.014562209086946354
ED1a,SE11,91335.02505063433,2.5289632991659112E7,77917.01668177942,0.012259538324821864
HS,S88,95470.74776600422,2.4147363798439384E7,83259.40312123513,0.007302598116102616
IAI39,UTI89,22943.922811934317,2.5661434157172304E7,5041.685655392544,0.005289799056162797
BW2952,EDL933,223837.79329014124,2.4973964317010228E7,440070.3659795529,0.013830190585728822
SE11,SMS35,47581.53412827291,2.4879183934747666E7,20624.130504663593,0.006489026887897882
F2a2457T,MG1655,64309.07495058532,2.3311689144623376E7,41352.71075324453,0.021039951980807835
E24377A,SSSs046,67504.82841989897,2.457388063452062E7,41964.730958766086,0.01565819005609632
SMS35,SSSs046,77069.38643845558,2.4708275891179435E7,51190.21764114387,0.014688341359973003
D1Sd197,SE11,143459.6376406967,2.3047320713028017E7,188600.57394395294,0.02175556674160573
CFT073,F5b8401,173136.0343718199,2.4518261947212122E7,290560.1055757651,0.017624666218185245
EDL933,IAI1,187354.55699555323,2.542698237420044E7,302718.25159910443,0.012101845859048025
CB9615,SMS35,88528.22844720208,2.6192139709683597E7,68756.58063279648,0.009306924142115222
D1Sd197,F2a301,82537.13214668898,2.2480509023132924E7,73136.95373413712,0.01920326726267316
536,F2a2457T,83156.28113377847,2.3966852411157332E7,62807.17768532543,0.01529116490115921
EDL933,HS,208760.90111895953,2.516671159217013E7,380820.8156597268,0.013994442174949382
APEC01,F2a301,129227.39359748768,2.4391968277065545E7,151505.44586891,0.013480798876730248
SE11,SSSs046,44046.321208473244,2.4272294719407536E7,18652.561184929702,0.01309837466088316
E234869,MG1655,77318.06755862436,2.4066969068676826E7,56022.86264633875,0.010941140347664201
D1Sd197,F5b8401,68204.65522235268,2.2333702212568518E7,49837.57486294657,0.01717053600115081
DH10B,F2a301,41789.30215976333,2.3300475739505704E7,17197.52098859224,0.013091048892465516
HS,SSSs046,55511.395884088524,2.36547058335263E7,33575.33294739695,0.013057633792838197
BW2952,E24377A,106591.96300847451,2.3923383275944754E7,107709.44811048605,0.00984041768653001
536,CB9615,119791.42758979042,2.5842940597721204E7,119904.80455757487,0.008333214230832126
APEC01,B18BS512,140271.2507429801,2.4319914470171716E7,187200.0596565521,0.02067298327372829
MG1655,W3110,15397.578803175518,2.3295634335829716E7,2692.3283405588127,0.00499126092740436
CB9615,F2a2457T,195131.7152130837,2.5044652887371887E7,324000.2252562255,0.019047178918757807
SSSs046,W3110,57135.18656659834,2.366081326092328E7,35615.47815343985,0.014064704133792096
536,IAI1,53431.63005187096,2.416291959716078E7,28086.805678451514,0.007835401068974674
E234869,UMN026,64656.73160622952,2.540267199682575E7,31898.006348498177,0.006567812819506069
F2a301,UMN026,148708.53238802406,2.4510247966290526E7,177659.06741895882,0.012719300110647466
APEC01,CB9615,83610.83895644153,2.6400619709376663E7,57333.581246673166,0.014482238408518564
ED1a,UTI89,41957.562953536755,2.5850592609563697E7,15851.780872607522,0.007457432051926952
HS,SE11,60830.785076308195,2.381041862421915E7,33399.75156170185,0.004756667939132298
CFT073,SSSs046,117365.16495110464,2.5219252872857273E7,143328.25428544928,0.018988466315332294
IAI39,SMS35,29952.13665166477,2.5581574436941866E7,9407.126116273143,0.006801884635170357
E24377A,MG1655,91357.8929759219,2.4174413022589024E7,77618.95482196719,0.013603144528581046
CFT073,HS,155498.24955606414,2.4710986596033607E7,250855.8079327815,0.020217829761218616
BW2952,F5b8401,32825.57938559501,2.2874789273897994E7,12413.452204003932,0.011649208942563109
HS,UTI89,112613.30492885821,2.42972177451263E7,119655.50974739615,0.01154905194933972
CFT073,IAI1,135782.64960590508,2.4962340634200066E7,190586.7315998652,0.018713178366334668
536,CFT073,87474.04397877121,2.553204143940828E7,86251.12118343709,0.01594559227140568
E24377A,F5b8401,114830.55966074536,2.3908751649437215E7,117472.70112556976,0.013425387839656685
BW2952,SSSs046,69555.88489840382,2.3482820604533672E7,51100.79093264291,0.014097246654069568
ATCC8739,CFT073,169618.40605901237,2.527192602542086E7,275547.949158284,0.04345628174046587
IAI39,Sakai,113610.32915188654,2.679655494364604E7,96254.11270791551,0.013558763458895076
Sakai,SSSs046,201583.77297788628,2.583105738289652E7,322435.2342069652,0.023029911553496263
IAI39,SSSs046,95102.79914913126,2.4938323350959897E7,80159.29808020798,0.014854468296029169
